/home/ec2-user/ricky/TIS/CIRCL/0806/www.circl.lu/doc/misp/feed-osint,,,about 1100 files
source , OSINT ,715,
attack-type , Malspam ,135,
attack-type , M2M ,118,
campaign , Locky ,107,
attack-type , Ransomware ,85,
attack-type , Malware ,74,
attack-type , Trojan ,46,
attack-type , RAT ,33,
attack-type , APT ,31,
target-platform , Android ,28,
campaign , Dridex ,22,
attack-type , Trickbot ,22,
target-platform , Mac ,20,
campaign , GlobeImposter ,17,
attack-type , Spam ,17,
target-industry , Banking ,16,
campaign , Sofacy ,15,
attack-type , Phishing ,15,
attack-type , Backdoor ,13,
target-platform , Linux ,13,
campaign , Emotet ,11,
target-platform , Infrastructure ,10,
target-industry , Government ,10,
target-location , Korean ,10,
target-platform , Windows ,10,
target-platform , Mobile ,9,
campaign , APT28 ,9,
attack-type , Botnet ,8,
target-location , Brazil ,8,
target-location , Europe ,8,
campaign , TeslaCrypt ,7,
attack-type , Worm ,7,
target-location , Russian ,7,
attack-type , Spyware ,7,
campaign , Cerber ,6,
target-location , Chinese ,6,
target-location , Japan ,6,
campaign , WannaCry ,6,
target-indistry , Financial ,6,
target-platform , Chrome ,6,
campaign , PlugX ,6,
target-platform , Bitcoin ,5,
target-location , European ,5,
campaign , Bad Rabbit ,5,
campaign , Shamoon ,5,
campaign , Angler ,5,
attack-type , EK ,5,
target-location , UK ,5,
target-platform , SMS ,5,
target-platform , SMB ,5,
attack-type , Downloader ,5,
campaign , Mirai ,4,
attack-type , Fileless ,4,
target-platform , OSX ,4,
target-location , Facebook ,4,
target-location , Tibetan ,4,
campaign , TrickBot ,4,
target-platform , SSH ,4,
target-location , Israeli ,4,
target-location , Brazilian ,4,
target-location , Hong Kong ,4,
target-location , American ,4,
vulneribility , EternalBlue ,4,
campaign , Poison Ivy ,4,
campaign , Carbanak ,4,
campaign , Sednit ,4,
target-location , Japanese ,4,
target-platform , Cryptocurrency ,4,
target-platform , PowerShell ,4,
campaign , Sauron ,3,
attack-type , C&C ,3,
campaign , Pawn Storm ,3,
attack-type , SPAM ,3,
campaign , ScanBox ,3,
target-platform , Messenger ,3,
campaign , Zeus ,3,
attack-type , Adware ,3,
target-location , U.S. ,3,
target-location , Palestinian ,3,
attack-type , DGA ,3,
campaign , Kronos ,3,
campaign , Fareit ,3,
attack-type , Malvertising ,3,
target-platform , ELF ,3,
campaign , GandCrab ,3,
campaign , Neutrino ,3,
target-location , German ,3,
campaign , Nuclear ,3,
target-platform , OpenDNS ,3,
target-location , Ukrainian ,3,
campaign , HIDDEN COBRA ,3,
campaign , FinFisher ,3,
target-location , Saudi Arabia ,2,
campaign , Astrum ,2,
target-location , French ,2,
target-platform , UAC ,2,
target-platform , Point-of-Sale ,2,
target-location , Netherlands ,2,
campaign , Rotten Tomato ,2,
attack-type , Steganography ,2,
campaign , KASPERAGENT ,2,
target-location , Italian ,2,
campaign , Nemucod ,2,
target-location , Tajikistan ,2,
target-location , Afghanistan ,2,
